Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2005-01-01,0:00:00,,1046.0,,4.2,724.0,,848.0,,898.0,1201.0,8.2,40.1,0.4375,2005-01
2005-01-01,1:00:00,1.6,1275.0,,8.8,930.0,215.0,649.0,106.0,1024.0,1617.0,5.3,50.7,0.4564,2005-01
2005-01-01,2:00:00,2.5,1173.0,,7.5,878.0,300.0,738.0,129.0,1002.0,1355.0,5.9,50.0,0.4689,2005-01
2005-01-01,3:00:00,2.7,1163.0,,7.6,881.0,,748.0,,1001.0,1296.0,4.9,53.9,0.4693,2005-01
2005-01-01,4:00:00,1.9,1054.0,,5.6,791.0,253.0,830.0,126.0,967.0,1131.0,4.3,55.3,0.465,2005-01
2005-01-01,5:00:00,1.4,1004.0,,4.8,753.0,181.0,879.0,106.0,942.0,1036.0,4.2,57.1,0.4759,2005-01
2005-01-01,6:00:00,1.5,1001.0,,5.3,777.0,171.0,859.0,99.0,954.0,1009.0,3.5,58.3,0.4636,2005-01
2005-01-01,7:00:00,1.4,974.0,,4.5,736.0,168.0,888.0,97.0,945.0,966.0,3.0,60.7,0.4667,2005-01
2005-01-01,8:00:00,1.1,915.0,,3.0,653.0,169.0,973.0,94.0,905.0,901.0,2.6,63.2,0.4721,2005-01
2005-01-01,9:00:00,1.0,939.0,,3.0,649.0,145.0,996.0,86.0,897.0,879.0,3.9,59.0,0.4807,2005-01
2005-01-01,10:00:00,1.2,973.0,,4.7,748.0,190.0,878.0,97.0,968.0,991.0,4.7,57.2,0.4932,2005-01
2005-01-01,11:00:00,1.7,1011.0,,5.4,782.0,225.0,846.0,113.0,992.0,1019.0,6.8,48.6,0.4822,2005-01
2005-01-01,12:00:00,2.3,1097.0,,7.4,875.0,261.0,778.0,125.0,1080.0,1151.0,8.6,43.6,0.4887,2005-01
2005-01-01,13:00:00,2.2,1149.0,,8.4,914.0,382.0,742.0,147.0,1072.0,1242.0,9.5,41.2,0.4908,2005-01
2005-01-01,14:00:00,2.4,1117.0,,8.9,934.0,357.0,721.0,153.0,1075.0,1206.0,10.9,35.9,0.468,2005-01
